Shark,Sub-Species,Endangerment,Growth Rates,North Atlantic,South Atlantic,Arctic,Indian,North Pacific,South Pacific
Whitefin Sharksucker,None,Data Deficiant,Undefined,Yes,No,No,No,No,No
Live Sharksucker,None,Least Concern,Stable,Yes,Yes,Yes,Yes,No,No
Tope,None,Critically Endangered,Decreasing,Yes,Yes,Yes,Yes,Yes,Yes
Bluntnose Sixgill Shark,None,Near Threatened,Decreasing,Yes,Yes,Yes,Yes,Yes,Yes
Nervous Shark,None,Least Concern,Stable,No,No,No,Yes,No,Yes
Blacktip Reef Shark,None,Vulnerable,Decreasing,No,No,No,Yes,Yes,Yes
Portuguese Dogfish,Dogfish,Near Threatened,Decreasing,Yes,No,No,No,Yes,Yes
Speartooth Shark,None,Vulnerable,Decreasing,No,No,No,Yes,No,Yes
Megamouth Shark,None,Least Concern,Undefined,No,No,No,No,Yes,No
Creek Whaler,None,Least Concern,Undefined,No,No,No,Yes,No,Yes
Blacktip Shark,None,Vulnerable,Decreasing,Yes,Yes,No,Yes,Yes,Yes
Pacific Nurse Shark,None,Endangered,Decreasing,No,No,No,No,Yes,Yes
Bonnethead Shark,None,Endangered,Decreasing,Yes,Yes,No,No,Yes,No
Whitetip Reef Shark,None,Vulnerable,Decreasing,No,No,No,Yes,No,Yes
Tiger Shark,None,Near Threatened,Decreasing,Yes,Yes,No,Yes,No,Yes
Basking Shark,None,Endangered,Decreasing,Yes,Yes,Yes,No,Yes,Yes
Grey Reef Shark,None,Endangered,Decreasing,No,No,No,Yes,Yes,Yes
Horn Shark,None,Data Deficiant,Undefined,No,No,No,No,Yes,Yes
Northern River Shark,None,Vulnerable,Decreasing,No,No,No,Yes,No,Yes
Indonesian Angel Shark,Angelshark,Critically Endangered,Decreasing,No,No,No,Yes,No,No
Eastern Angel Shark,Angelshark,Vulnerable,Decreasing,No,No,No,No,No,Yes
Black Dogfish,Dogfish,Least Concern,Stable,Yes,Yes,No,No,No,No
Velvet Belly Lantern Shark,Lanternshark,Vulnerable,Decreasing,Yes,Yes,Yes,No,No,No
Birdbeak Dogfish,Dogfish,Near Threatened,Decreasing,Yes,Yes,No,No,Yes,Yes
Longnose Velvet Dogfish,Dogfish,Near Threatened,Decreasing,Yes,Yes,No,Yes,No,Yes
White Shark,None,Vulnerable,Decreasing,Yes,No,No,No,Yes,No
Zebra Shark,None,Endangered,Decreasing,No,No,No,Yes,Yes,Yes
Spiny Dogfish,Dogfish,Vulnerable,Decreasing,Yes,No,No,No,Yes,No
Great Lanternshark,Lanternshark,Least Concern,Stable,Yes,Yes,No,No,No,No
Spined Pygmy Shark,Pygmyshark,Least Concern,Stable,Yes,Yes,No,Yes,Yes,Yes
Caribbean Roughshark,None,Least Concern,Stable,Yes,No,No,No,No,No
Galapagos Shark,None,Least Concern,Undefined,Yes,Yes,No,Yes,No,No
Graceful Shark,None,Vulnerable,Decreasing,No,No,No,Yes,Yes,Yes
Whale Shark,None,Endangered,Decreasing,Yes,Yes,No,Yes,Yes,Yes
Starry Smoothhound,None,Near Threatened,Decreasing,Yes,No,No,No,No,No
Bull Shark,None,Vulnerable,Decreasing,Yes,Yes,No,Yes,Yes,Yes
Scalloped Hammerhead,Hammerhead,Critically Endangered,Decreasing,Yes,Yes,No,No,No,No
White Ghost Catshark,Catshark,Least Concern,Undefined,Yes,No,No,No,No,No
Spotted Gully Shark,None,Least Concern,Stable,No,Yes,No,Yes,No,No
Porbeagle,None,Vulnerable,Decreasing,Yes,Yes,No,Yes,No,Yes
Great Hammerhead,Hammerhead,Critically Endangered,Decreasing,Yes,Yes,No,No,No,No
Blue Shark,None,Near Threatened,Decreasing,Yes,Yes,No,Yes,Yes,Yes
Chilean Catshark,Catshark,Least Concern,Undefined,No,No,No,No,No,Yes
Smooth Hammerhead,Hammerhead,Vulnerable,Decreasing,Yes,Yes,No,Yes,No,No
