IUCN RedList Global,Extinct,Extinct in the Wild,Critically Endangered,Endangered,Vulnerable,Near Threatened,Least Concern,Data Deficiant,Not Evaluated,Numbers Dropping (x)
,,,,,,,,,,
Whitefin Sharksucker,,,,,,,,x,,u
Live Sharksucker,,,,,,,x,,,
Tope,,,x,,,,,,,x
Bluntnose Sixgill Shark,,,,,,x,,,,x
Nervous Shark,,,,,,,x,,,
Blacktip Reef Shark,,,,,x,,,,,x
Portuguese Dogfish,,,,,,x,,,,x
Speartooth Shark,,,,,x,,,,,x
Megamouth Shark,,,,,,,x,,,u
Creek Whaler,,,,,,,x,,,u
Blacktip Shark,,,,,x,,,,,x
Pacific Nurse Shark,,,,x,,,,,,x
Bonnethead Shark,,,,x,,,,,,x
Whitetip Reef Shark,,,,,x,,,,,x
Tiger Shark,,,,,,x,,,,x
Basking Shark,,,,x,,,,,,x
Grey Reef Shark,,,,x,,,,,,x
Horn Shark,,,,,,,,x,,u
Northern River Shark,,,,,x,,,,,x
Indonesian Angel Shark,,,x,,,,,,,x
Eastern Angel Shark,,,,,x,,,,,x
Black Dogfish,,,,,,,x,,,
Velvet Belly Lantern Shark,,,,,x,,,,,x
Birdbeak Dogfish,,,,,,x,,,,x
Longnose Velvet Dogfish,,,,,,x,,,,x
White Shark,,,,,x,,,,,x
Zebra Shark,,,,x,,,,,,x
Spiny Dogfish,,,,,x,,,,,x
Great Lanternshark,,,,,,,x,,,
Spined Pymy Shark,,,,,,,x,,,
Caribbean Roughshark,,,,,,,x,,,
Galapagos Shark,,,,,,,x,,,u
Graceful Shark,,,,,x,,,,,x
Whale Shark,,,,x,,,,,,x
Starry Smoothhound,,,,,,x,,,,x
Bull Shark,,,,,x,,,,,x
Scalloped Hammerhead,,,x,,,,,,,x
White Ghost Catshark,,,,,,,x,,,u
Spotted Gully Shark,,,,,,,x,,,
Porbeagle,,,,,x,,,,,x
Great Hammerhead,,,x,,,,,,,x
Blue Shark,,,,,,x,,,,x
Chilean Catshark,,,,,,,x,,,u
Smooth Hammerhead,,,,,x,,,,,x
Caribbean Reef Shark,,,,x,,,,,,x
Iceland Catshark,,,,,,,x,,,
Blackmouth Catshark,,,,,,,x,,,
Greenland Shark,,,,,x,,,,,x
Pyjama Shark,,,,,,,x,,,^
Nursehound,,,,,x,,,,,x
Mouse Catshark,,,,,,,x,,,
Sand Tiger Shark,,,x,,,,,,,x
Fleshynose Catshark,,,,,,,x,,,u
Angular Roughshark,,,,x,,,,,,x
Broadnose Sevengill Shark,,,,,x,,,,,x
Atlantic Sixgill Shark,,,,,,,x,,,
Sharpnose Sevengill Shark,,,,,,x,,,,x
Whitespotted Bullhead Shark,,,,,,,,x,,u
Bigeyed Sixgill Shark,,,,,,x,,,,x
Southern African Frilled Shark,,,,,,,x,,,
Japanese Bullhead Shark,,,,,,,x,,,
Mexican Horn Shark,,,,,,,x,,,
Port jackson Shark,,,,,,,x,,,
African Dwarf Sawshark,,,,,,,x,,,
Frilled Shark,,,,,,,x,,,u
Borneo Shark,,,x,,,,,,,x
Blackmouth Lanternshark,,,,,,,x,,,u
Brown Lanternshark,,,,,,,,x,,u
Whitetail Dogfish,,,,,,,,x,,u
Marsha's Lanternshark,,,,,,,x,,,
Lined Lanternshark,,,,,,,x,,,
Whitecheek Lantern Shark,,,,,,,x,,,u
Blacknose Shark,,,,x,,,,,,x
Pacific Smalltail Shark,,,x,,,,,,,x
Sherwoods Dogfish,,,,,,,,x,,u
Densescale Lantern Shark,,,,,,,x,,,
Oman Bullhead Shark,,,,,,,,x,,x
Crested Horn Shark,,,,,,,x,,,u
Blurred Lantern Shark,,,,,,,x,,,
Rasptooth Dogfish,,,,,,,x,,,
Sparsetooth Dogfish,,,,,,,x,,,
Green Lantern Shark,,,,,,,x,,,^
Broadnose Lantern Shark,,,,,,,x,,,
Hawaiian Lantern Shark,,,,,,,x,,,
Galapagos Bullhead Shark,,,,,,,x,,,
Fatspine Spurdog,,,,,,,x,,,u
Phillipine Spurdog,,,,,x,,,,,x
Sandbar Shark,,,,x,,,,,,x
Pocket Shark,,,,,,,x,,,
